cnpj,margem_bruta,margem_liquida,margem_ebitda
04.032.433/0001-80,,,
02.387.241/0001-60,,,
91.333.666/0001-17,,,
10.760.260/0001-19,,,
07.689.002/0001-89,,,
03.853.896/0001-40,,,
11.721.921/0001-60,,,
67.620.377/0001-14,,,
01.599.101/0001-93,,,
09.083.175/0001-84,,,
07.857.093/0001-14,,,
84.683.408/0001-03,,,
14.785.152/0001-51,,,
92.690.783/0001-09,,,
32.785.497/0001-97,,,
06.057.223/0001-71,,,
86.550.951/0001-50,,,
45.365.558/0001-09,,,
01.107.327/0001-20,,,
06.948.969/0001-75,,,
08.560.444/0001-93,,,
33.611.500/0001-19,,,
92.660.570/0001-26,,,
07.415.333/0001-20,,,
75.315.333/0001-09,,,
11.421.994/0001-36,,,
61.584.140/0001-49,,,
51.128.999/0001-90,,,
52.548.435/0001-79,,,
50.746.577/0001-15,,,
16.590.234/0001-76,,,
61.351.532/0001-68,,,
88.610.191/0001-54,,,
15.141.799/0001-03,,,
33.386.210/0001-19,,,
60.476.884/0001-87,,,
19.378.769/0001-76,,,
09.305.994/0001-29,,,
45.242.914/0001-05,,,
45.987.245/0001-92,,,
05.799.312/0001-20,,,
08.801.621/0001-86,,,
11.669.021/0001-10,,,
02.998.301/0001-81,,,
04.986.320/0001-13,,,
19.526.748/0001-50,,,
02.998.611/0001-04,,,
33.014.556/0001-96,,,
60.894.730/0001-05,,,
02.429.144/0001-93,,,
61.092.037/0001-81,,,
90.076.886/0001-40,,,
02.800.026/0001-40,,,
29.780.061/0001-09,,,
92.012.467/0001-70,,,
33.228.024/0001-51,,,
60.398.369/0004-79,,,
64.904.295/0001-03,,,
60.651.809/0001-05,,,
33.256.439/0001-39,,,
14.807.945/0001-24,,,
04.423.567/0001-21,,,
13.574.594/0001-96,,,
73.178.600/0001-18,,,
12.091.809/0001-55,,,
83.878.892/0001-55,,,
42.331.462/0001-31,,,
19.853.511/0001-84,,,
33.958.695/0001-78,,,
36.542.025/0001-64,,,
26.735.020/0001-02,,,
08.613.550/0001-98,,,
43.470.988/0001-65,,,
06.164.253/0001-87,,,
10.139.870/0001-08,,,
09.114.805/0001-30,,,
61.065.298/0001-02,,,
08.807.432/0001-10,,,
10.215.988/0001-60,,,
07.882.930/0001-65,,,
61.065.751/0001-80,,,
00.001.180/0001-26,,,
91.983.056/0001-69,,,
82.643.537/0001-34,,,
01.971.614/0001-83,,,
59.418.806/0001-47,,,
84.693.183/0001-68,,,
33.113.309/0001-47,,,
61.189.288/0001-89,,,
06.977.745/0001-91,,,
47.960.950/0001-21,,,
76.627.504/0001-06,,,
09.042.817/0001-05,,,
05.197.443/0001-38,,,
61.374.161/0001-30,,,
62.984.091/0001-02,,,
33.035.536/0001-00,,,
33.200.049/0001-47,,,
02.860.694/0001-62,,,
08.764.621/0001-53,,,
61.532.644/0001-15,,,
92.665.611/0001-77,,,
42.278.473/0001-03,,,
04.065.791/0001-99,,,
88.613.658/0001-10,18.25,11.64,10.07
61.082.004/0001-50,,,
08.902.291/0001-15,,,
12.108.897/0001-50,,,
17.346.997/0001-39,,,
16.614.075/0001-00,,,
07.718.269/0001-57,,,
14.110.585/0001-07,,,
33.453.598/0001-23,,,
08.574.411/0001-00,,,
87.456.562/0001-22,,,
07.859.971/0001-30,,,
61.088.894/0001-08,,,
16.922.038/0001-51,,,
18.593.815/0001-97,,,
84.429.695/0001-11,,,
82.901.000/0001-27,,,
61.585.865/0001-51,,,
02.762.121/0001-04,,,
12.181.987/0001-77,,,
06.047.087/0001-39,,,
09.288.252/0001-32,,,
58.430.828/0001-60,,,
33.041.260/0652-90,,,
02.302.101/0001-42,,,
19.688.956/0001-56,,,
51.928.174/0001-50,,,
07.206.816/0001-15,,,
21.255.567/0001-89,,,
07.526.557/0001-00,,,
89.463.822/0001-12,,,
60.840.055/0001-31,,,
84.683.374/0001-49,,,
02.149.205/0001-69,,,
35.791.391/0001-94,,,
02.916.265/0001-60,,,
60.933.603/0001-78,,,
47.508.411/0001-56,,,
87.762.563/0001-03,,,
01.083.200/0001-18,,,
33.412.081/0001-96,,,
53.113.791/0001-22,,,
27.093.558/0001-15,,,
05.730.375/0001-20,,,
11.992.680/0001-93,,,
33.000.167/0001-01,,,
00.359.742/0001-08,,,
56.643.018/0001-66,,,
89.850.341/0001-60,,,
02.635.522/0001-95,55.39,18.92,38.04
09.611.768/0001-76,,,
08.926.302/0001-05,,,
10.629.105/0001-68,,,
08.402.943/0001-52,,,
83.475.913/0001-91,,,
08.294.224/0001-65,,,
07.594.978/0001-78,,,
02.474.103/0001-19,,,
20.247.322/0001-47,,,
02.558.157/0001-62,,,
02.351.877/0001-52,,,
08.439.659/0001-50,,,
07.820.907/0001-46,,,
61.156.931/0001-78,,,
01.938.783/0001-11,,,
89.086.144/0001-16,,,
71.476.527/0001-35,,,
12.528.708/0001-07,,,
88.611.835/0001-29,,,
22.677.520/0001-76,,,
31.553.627/0001-01,,,
15.101.405/0001-93,,,
16.404.287/0001-55,,,
76.483.817/0001-20,,,
85.778.074/0001-06,,,
03.220.438/0001-73,,,
49.669.856/0001-43,,,
51.466.860/0001-56,38.14,22.47,29.05
58.119.199/0001-51,,,
02.193.750/0001-52,,,
45.453.214/0001-51,,,
08.159.965/0001-33,,,
90.441.460/0001-48,,,
07.816.890/0001-53,,,
29.978.814/0001-87,,,
02.351.144/0001-18,,,
61.022.042/0001-18,,,
33.592.510/0001-54,,,
60.637.238/0001-54,,,
61.079.117/0001-05,,,
21.240.146/0001-84,,,
02.365.069/0001-44,,,
13.217.485/0001-11,,,
07.857.850/0001-50,,,
42.278.291/0001-24,,,
04.149.454/0001-80,,,
07.628.528/0001-59,41.39,-13.96,32.81
08.797.760/0001-83,,,
43.185.362/0001-07,,,
12.648.266/0001-24,,,
09.347.516/0001-81,,,
42.771.949/0001-35,,,
23.373.000/0001-32,,,
59.105.999/0001-86,,,
15.527.906/0001-36,21.97,10.86,15.86
88.610.126/0001-29,,,
06.981.381/0001-13,67.55,32.33,45.06
61.156.113/0001-75,,,
96.418.264/0218-02,,,
21.314.559/0001-66,,,
01.545.826/0001-07,,,
33.042.730/0001-04,,,
67.010.660/0001-24,,,
60.537.263/0001-66,,,
50.926.955/0001-42,,,
00.864.214/0001-06,,,
33.467.572/0001-34,,,
04.821.041/0001-08,,,
09.112.685/0001-32,,,
17.314.329/0001-20,,,
49.263.189/0001-02,,,
92.754.738/0001-62,,,
89.096.457/0001-55,,,
00.622.416/0001-41,,,
82.982.075/0001-80,,,
82.636.986/0001-55,,,
17.155.730/0001-64,,,
12.049.631/0001-84,,,
42.150.391/0001-70,,,
92.791.243/0001-03,,,
07.950.674/0001-04,,,
30.540.991/0001-66,,,
02.932.074/0001-91,,,
16.811.931/0001-00,,,
02.846.056/0001-97,,,
10.285.590/0001-08,,,
04.752.991/0001-10,,,
03.378.521/0001-75,,,
10.851.805/0001-00,,,
07.437.016/0001-05,,,
12.648.327/0001-53,,,
92.693.019/0001-89,,,
17.281.106/0001-03,,,
09.041.168/0001-10,,,
60.543.816/0001-93,,,
92.781.335/0001-02,,,
60.851.615/0001-53,,,
61.486.650/0001-83,,,
76.535.764/0001-43,,,
17.245.234/0001-00,,,
78.876.950/0001-71,,,
67.571.414/0001-41,,,
26.462.693/0001-28,,,
24.990.777/0001-09,,,
97.837.181/0001-47,,,
33.111.246/0001-90,,,
60.500.139/0001-26,,,
81.243.735/0001-48,,,
08.065.557/0001-12,,,
00.776.574/0001-56,,,
01.838.723/0001-27,,,
84.683.671/0001-94,,,
08.078.847/0001-09,,,
33.839.910/0001-11,,,
04.128.563/0001-10,,,
89.637.490/0001-45,,,
56.720.428/0001-63,,,
91.495.499/0001-00,,,
17.193.806/0001-46,,,
51.218.147/0001-93,,,
08.811.643/0001-27,,,
09.149.503/0001-06,,,
03.847.461/0001-92,,,
34.274.233/0001-02,,,
22.543.331/0001-00,,,
60.730.348/0001-66,,,
08.312.229/0001-73,,,
03.983.431/0001-03,,,
09.295.063/0001-97,,,
08.534.605/0001-74,,,
03.014.553/0001-91,,,
20.258.278/0001-70,,,
08.364.948/0001-38,,,
02.762.115/0001-49,,,
33.102.476/0001-92,,,
86.375.425/0001-09,,,
06.977.751/0001-49,,,
92.715.812/0001-31,,,
00.070.698/0001-11,,,
50.564.053/0001-03,,,
26.659.061/0001-59,,,
82.640.558/0001-04,,,
09.346.601/0001-25,,,
02.950.811/0001-89,,,
24.230.275/0001-80,,,
16.670.085/0001-55,,,
08.343.492/0001-20,,,
05.878.397/0001-32,,,
